Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
16b0f643670d1f94663179815bfac493f5f30a61d15c18c8b305b1016eece7ef,69.23,8.94,93638,143059
170ddf08d3c54ba8eb1d28c24b3ac61cb22f4552c1805546796937bd43267f41,20.69,1.05,6093,9133
1773b284d3dd1e06be6dd92012d05720471395affc653874aa34636bf58d328c,25.48,1.41,11523,17241
17b697a8b157e4c40c5e970cf895528784732c8a2e48dbc71c8fa174b4aacd1c,19.31,1.24,9194,13667
17dc9bb50f33427f62ccf8e9c844c47300eec8be13e2342b119b1c88a2b46bef,17.49,0.81,6041,9055
18061dca0d4da1cd8297607c132010c56c0d82520a0f922ba24dd65bc55a29ac,26.66,1.41,11523,17241
184dcab660427b846432e9e20b7d9caa98c0b91d00814f4258f73269d184f907,23.3,1.81,15587,23049
1978935cf8c484d17024464ea07896b665e99350c82511e1a377230dae992080,26.13,1.53,11523,17241
198dfcbc76525d6b18a504fbb45d715876dddb9c7a70e2857cfc8a9cd41b3308,119.09,4.99,42458,63521
19b65ef538144e873271f547807830a5ba31fe215f2fe7ade51a38047a80834b,49.56,3.59,43222,66521
1bad2b6e8ab16c5a692b2d05f68f7924a73a5818ddf3a9678ca8caab3568a78e,49.91,3.95,43294,66635
1c716742fa1712562e2d6275a68a8d2e73bd910bff417072259bb164f2628863,24.97,1.37,13946,21224
1cba58f73221b5bb7930bfeab0106ae5415e70f49a595727022dcf6fda1126e9,65.62,10.15,93629,143045
1ccf8baf11427fae273ffed587b41c857fa2d8f3d3c6c0ddaa1fe4835f665eba,54.45,2.2,22130,33713
1ec34305e593c27bb95d538d45b6a17433e71fa1c1877ce78bf2dbda6839f218,122.66,4.73,42359,63379
1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,38.08,5.1,48052,74368
202523606be3b79ee5b59b342404b0c4ec85df4182ceffd97d02fd02effdce89,15.23,0.12,3,2
205844b121363c5345ae288de1a69d4318655fac54040e8f8f0f8ed407ca105f,14.09,0.7,4547,6842
20c8003ce867f220f35d70424592dd33c5ad53d5d3a6e7845394375bda6f3c19,120.25,4.45,42381,63406
20ed21bfdb7aa970b12e7368eba8e26a711752f1cc5416b6fd6629d0e2a44e5d,238.63,22.59,169274,249929
21e51ee7ba87cd60f692628292e221c17286df1c39e36410e7a0ae77df0f6b4b,4.39,0.06,58,83
23295c518f194dee7815728de15bafe07bf53b52d987c7ad2b2050f833f770f7,70.21,9.81,93639,143060
2423f6e4b6f015042c4de4a4ad457629b7c4737ec19352abac9dd6136ba46d68,22.62,1.1,8976,13470
24e8ef41ead6fc45d9a7ec2c306fd04373eaa93bbae0bd1551a10234574d0e07,64.91,3.07,22130,33713
25fba0e92d00184dde662c7d30aff006851dba296daa6f6f82ce797b66789ed2,5.22,0.03,58,83
264af7e7aa17422eb4299df640c1aa199b4778509697b6b296efa5ae7e957b40,54.25,9.31,89426,140887
2744c04eaed1afa8fe7883ef8204dafb8d7ae3bb0231d11bf3e1a93a93193a7f,12.19,0.82,3136,4514
279dbb1984d32a99caf4a0b82a1519e1bacabed43af723398c631a7d17352fe9,26.32,1.17,8976,13470
27fb5458adf29cf8593f93520047759045674362a98fd302e437d981fa46c4ca,29.45,1.74,11523,17241
29214055a5789fc1002f1a38bdf0e5d4826724534da5d30f4e38f83e186b3edf,27.82,1.79,11523,17241
29c654b4d28851d4a1b346a6630cce46635e2036a2f4e272ff977dd57afe6c6a,29.32,1.41,11523,17241
2ab717ca03abac1925dffe96e0daecc8d625192804ed46111688ebc2c1d58ae5,27.72,1.68,11523,17241
2ad4889846cfdec40cf0b089a61b8d618d0eb7ccd83a68117dc391fff359214a,29.07,1.46,11523,17241
