Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
88da2b1cee373d5f11949c1ade22af0badf16591a871978a9e02f70480e547b2,135.28,7.11,42359,63379
88dc4a9c852697cff3b9e0d654d20feb8772fdcddb989eabac12b7cfad6e9b64,49.61,7.53,48052,74368
89b9f7499d59d0d308f5ad02cd6fddd55b368190c37f6c5413c4cfcd343eeff3,265.52,30.02,168672,249186
8a193db0ff08237f63c036d422f52276a4e575476763dc391455ed5b12269c07,69.04,3.21,22130,33713
8b65c9437445e9bcb8164d8557ecb9e3585c8bebf37099a3ec1437884efbdd24,67.38,11.78,89427,140888
8b758ccdfbfa5ff3a0b67b2063c2397531cf0f7b3d278298da76528f443779e9,125.19,15.26,126223,183141
8e209e4f7f10ca6def27eabf31ecc0dbb809643feaecb8e52c2f194daa0511aa,2126.84,2.48,16171,26100
8f50df60a73e4f849d71d3a93d1f0cbbdb16e1165dbae0ce61b27d4de85092fa,178.65,21.45,189525,295676
90a4107e2851d7e178995e2ecbeef51c0390991e4ed7473e253dcb81a8c5f3a9,1642.84,309.67,1001923,1536554
91ffe0ee445b82bd3360156feeecf8112d27c9333f9796caffcfda986fd7e9b4,49.61,4.91,42926,66594
9323230b01d3e0fa03126e367cc442cef8a49bb7fe3a7b2ca0aa357568a707d9,18.41,1.26,4809,7272
93953eef3fe8405d563560dc332135bfe5874ddeb373d714862f72ee62bef518,89.59,12.68,93628,143044
93fb7f0c2cf10fb5885e03c737ee8508816c1102e9e3d358160b78e91fa1ebdb,46.37,5.23,42920,66973
9413ba4a33ea77326b837ba538f92348e1909d5263ca67a86aa327daa8fbba30,67.87,11.04,89426,140887
948902bedddc8b983c84990df8adafa67f1396154d778b3389681eb635c6335e,18.86,0.82,4809,7272
94f420e16a4eb5154076895cd8c5f677db4273d37d44b81e1d04b26e851b69fe,61.82,4.97,43191,66476
9cc7fd79b16ed36fe78d8b6bc9ea5e99bb1fb48a39d6051c3961bf503fd16a24,126.33,15.82,140005,216976
9d41b2f7c07110fb855c62b5e7e330a597860916599e73dd3505694fd1bbe163,26.23,1.23,7116,10494
9de32eb152480c5acd6683b4471ebb10fd5b10af638ef571eb3813330fb25cf0,30.69,1.77,9701,14604
9eb1116d320bcb101822b170f9d13fcb5d0f4ee931b857dbf4dce8595d23aff8,19.32,1.22,2820,4024
9ec6bf1ad038e6c7f5bf9be374d3299df033424ef1399a8ffd892df40efd6353,60.96,4.66,43222,66521
9f702b94a86558df87de316611d9f1bfe99a6d8da9fa9b3d7bb125a12f9ad11f,24.61,1.98,6882,10169
a0027df5ccc2a66c8a0bcaa7d7033aa438b58a92732030e73d5a9f77a7659639,100.76,1.78,7158,11043
a091fb15074d114bcc16a3575c6053535356c3e8576e50e147b7cf3876d33267,136.65,6.49,42381,63406
a0cebcc9f5893b2fde2806794c27b8a304a0eb863e128ad779ed5dd806ad9239,60.11,4.67,43222,66521
a147945635d5bd0fa832c9b55bc3ebcea7a7787e8f89b98a44279f8eddda2a77,20.92,1.2,5328,7904
a201e2d6851386b10e20fbd6464e861dea75a802451954ebe66502c2301ea0ed,54.7,6.62,50486,77944
a205b3000e64821c7d482e1b5c0fde9cedbbdc4783ba25d6019a93b325aa8742,10,0.05,108,121
a20bdb925e1f673b30da71c943e9dd460ee68e23b44fe00c8a1b09609804f105,72.15,4.64,35672,53785
a399a293cc3f25f6250ebee65e6e60e818831925769d540354275e9ad87bb5bb,70.62,3.28,22130,33713
a5806174261004a0b8b5c0be808a77e5f25b867a4c522813035c2b0dc05d90a2,135.29,5.94,42359,63379
a6bdb5f442c8565ee1268c1eaacc1bf79308e0e1270dd8a60d671583f108c618,17.98,0.66,4809,7272
a6d68214bf78c925b6fe6ab277589bc28c338e7253625925a674f380f3a52102,135.67,6.5,42359,63379
a82c5abfc976b78a19020e690992a803fae267080d1e3fb30dff552a0ddf73b1,229.62,23.45,189492,295344
a834b3d15719bbf9f0c7b5740b8a30de2eb3aee9e24598b3a30e37253e0c154e,7.07,0.26,91,122
a8df7571e871d22f13ba3eb376eddd1f73ce241d24caa878494e1805219b342a,17.69,0.38,2166,1926
aa1f4e8e7066b57f594ebed05e931932277c35495ba407f1f97675c6ce4be5cc,134.15,5.73,42695,63902
aaa7799edfd86b52438a9e0d71f8069cbcbe1988036b95888fcdc553e729b7b9,136.12,6.54,42359,63379
aaf7bb9ad358726ca367f1827686dc15fea925f26ab1e201a2768c67472e8890,20.58,0.72,5230,8217
ac23f1970395ff1429dd6738261eb25ad8f695b46a4816056924c8fc97dcec03,24.79,1.26,6517,9748
aca01073676a7e2003ac7af9b27b9aa54c076ea94cf4c9627828b12955261aeb,18.27,0.96,6371,9315
ae455890e2123a9d011e47065828b0a03c08fd66570fab9d0340d2f5d5eb40c3,136.57,6.14,42695,63902
ae61d655793f94da0c082ce2a60f024373adf55380f78173956c5174edb43d49,54.66,5.82,50463,77898
af46356eb70f0fbb0799f8a8d5c0f7513d2f6ade4f16d4869f2690029b511d4f,55.28,6.08,50486,77944
afb7f11da27439a2e223e6b651f96eb16a7e35b34918e501886d25439015bf78,73.23,11.28,89952,138926
b09117026afdd58f26c2a469df134f97a168fd881e2b7d4a16c3cc26527b54f6,6,0.1,80,110
b10129c175c007148dd4f5aff4d7fb61eb3e4b0ed4897fea6b33e90555f2b845,70.61,2.58,22130,33713
b182819bc0e90b4fdf15e886da41923360ed63529a851ef90704f6dbfed2ea8b,980.32,1.37,11903,17896
b1ac46470933de2096f95f35116dc3dd2a52b416150b75dc3d5e3ee4d521a09a,22,1.93,10270,15713
b1ef7b267d887e34bf0242a94b38e7dc9fd5e6f8b2c5c440ce4ec98cc74642fb,300.63,24.54,168135,248407
b22b3ed2b00bb21fc54a50fd60f993b0110fa4ec08ce7c77ca50e924d6c69961,24.73,1.37,9194,13667
b2f56cdb87e9417cd59250408e056f39a3df9e832df9afb8b7f95e3e46421312,6.4,0.06,73,98
b6cd9094503f184c05afb851644c079dc177001fa2b2286cdb5861338cdb655a,9.42,0.29,580,872
b6e7b72176815257a1684e9ecdb22766d3a07747edaae45d655320ba0ee7940d,135.06,6.39,42458,63521
b714cb02cfd5d67e1502b45242636ee6b35c1b609072d3082378c50a177df15d,69.96,2.95,22130,33713
b7ca2dde7789da13d1b8729cc2ef3d5dc596cbd710a06c17ff6eb4ef2d9d1182,110.22,0.15,3,2
b85586f95412bc69f3dceb0539f27c79c74e318b249554f0eace45f3f073c039,12.53,0.34,720,1003
b8e71845cc8ccd668a3436d1952a6c57649974bb8399e599dc33afc4c0843be7,60.73,5.67,52887,77827
b8ed237d1cfef4f1cefaeb06219be94b8fbb8cf404369b4f3734deeccb3e1079,133.41,6.11,42458,63521
b9c1e8700e39c6768be9d6bcb092cd6abe80d4244fc437566b58721cdc7d61ff,137.72,6.27,42381,63406
b9ee022489931c6b68b63b0ae34eb1b4ef141e9bb456e84034603a9ae04e5db9,12.71,0.77,3136,4514
bc10f7d483b8fac6652edb4cee39e2dfb0163822957e02191ebf70e2b968ed26,23.84,1.3,6093,9133
bcd952d2995d187c5a87ec0e03b638e02d7157b9a01d4e7c28ce7a6d6b28ac42,61.04,4.84,43222,66521
bd3a93a17a89ea67e9bd08df7aa5feeeca18dd7c1e01687d293d649539416e18,134.12,5.94,42458,63521
bd41ac2686beadc1cb008433960317b648caae37c93d8c0d61ad40fe27b5b67e,64.94,11.53,89426,140887
bd57af28c94c3b7f156511c48f4b62cd1b4c29a1a693f4dc831e0a928691cc56,65.52,12.19,89426,140887
bdb19d9eb19343708fbcc36acfaa91699e89d68643c75bf90c6d1e57adaf0d3d,22.99,2.04,6793,10194
bdd635b9c3d3c1e9871b3e6b917f33670c5ad8fe36fe90e8ca4714fbd592599a,20.46,1.22,6337,9274
be6dfedd91e1ebc81d58a61b05b0ef93322425b247636a0f7f5c3eeebbc52edd,32.5,2.5,17202,25618
bea0bbe82cef5b06c5631d7108722ad318816649cc292a30f712fe67618542d1,48.98,1.97,14314,22901
bf3583f12fbb140d0f297a70e5a053728829bcdca6ba87cef1361693eb8a836e,49.21,1.77,14314,22901
bf417334cd777c5073e2a3f30497aa8fcb16feabdc391d77a59ce23fb4a07d7d,43.06,1.95,2951,4299
bfc53b4167f17b426bae9625454e8cb14dba407033415c194ea071db2270b4fb,8.23,0.25,74,94
bfeec85c8f9a6dabae685713b57d9ffbbe3dc185955ba653e2f684321682758c,7.07,0.11,73,98
c0debf857c2e59dce4ef5bb8a7c916d5d9b44da76588ea6228b123a2707d9103,28.64,1.85,13499,20454
c22faf6ed4029051f2138c49cc95ee6f1e55923c28ddff660d404ab79be0f062,19.7,1.19,2820,4024
c25ae06404fd08f3b3729040028d909f670ddbfeab2ed2cf79482e90a3822948,34.14,2.02,17246,25688
c2859adc342cbcc36485ef6c3020913c459079acbeae3456b44297d7704f6853,56.1,8.33,67815,102844
c34300432b8aad4db5d830977f5496872bcbb8a8b99020240d4e09447970ec14,47.6,1.68,14314,22901
c4a2ab36c207f3e437ea3c7b424c18521d3ada91ef771a3d04fbd2db99f18857,132.95,6.95,42381,63406
c4b27044ec7b2f446d05421b1d8ae42d3e6b3c1ae67f559c3231bffa6785b284,13.84,0.95,3136,4514
c7275b4ed6a04bec1e7e1ed3f241dd4b6ce11d230ae06b00d9fb3bbfcd88f752,6.11,0.21,61,87
c7b91de4b4b10c22f2e3bca1e2603160588fd8fd829fd46103cf536b6082e310,42.69,2.39,11877,18222
c844d02c91d5e6dc293de80085ad2f69b5c44bc46ec9fdaa4e3efbda062c871c,70.65,3.12,22130,33713
c8c7515ca777b92b6f6a355e0ff5d0f4f712bb13d6d5735789a09fc3ed7de8fa,134.75,6.51,42695,63902
c94b70dff50e69639b0ef1e828621c5fddcf144fea93e27520f48264ddd33273,88.92,6.36,50410,73442
c9abfc3e4da474e18795f5261f77e60c44e7b3353771281e4304e7506d56fdb4,61.15,4.55,43222,66521
cb72f6510d2be9441cae55788a6d31a8eb4b386e1b9ac1f3f8509ef3a1b83c80,18.31,0.23,80,110
cb9d4202d4f495091a046b7fc3fdaa9306343b8402b741a45e3add7cafc95eee,139.2,6.25,42695,63902
cc80c74a3592374341324d607d877dcf564d326a1354f3f2a4af58030e716813,29.28,1.73,7620,11424
ccda8247360a85b6c076527e438a995757b6cdf5530f38e125915d31291c00d5,137.36,7.27,42359,63379
cf4644c0c78d3bb0c6460a4b877d5051341e31707b31a9dbd8bc53c90b17f995,48.32,1.84,14314,22901
cf582215a37617a76b80490a80f71cf31324ce354eaf88a54d995e734503fa40,18.18,0.8,4809,7272
cf9972fdff45287ddd6635c72820b083d613022a20f515546a0d577d8366dccf,47.87,1.78,14314,22901
d00853e592bccd823027e7e685d88c5a1f76a5a36ec5b7073d49ee633b050cc8,7.39,0.13,160,240
d00f2a459ecda2ad7afcf3ca62128fd3d0f3d29dbbe6f5314759890dbae12deb,29.69,2.42,13398,20349
d03e8098080039ea60946da1ffc2ec90834899b45ab9cae450eb4f80729c4ac9,114.17,14.99,117368,186302
d06b5a200292fedcfb4d4aecac32387a2e5b5bb09aaab5199c56bab3031257d6,70.22,3.23,22130,33713
d07b379369e9faea0fed406b9b37652b2fc6453044ab17c1e2189cf61640ab90,134.07,6.64,42359,63379
d168daab4fd03702fcb60af9b380ee785245577e6ad880fa4f117f8559dee596,33.98,2.52,17246,25688
d174cf908b7bcee10cc0458955554e5ba81beffd8544ae95a427fff643a41c86,440.98,0.02,3,2
d369be2ea9848ad00c533d7b30d5f85ded109f152320c259cbdf859e72b68d99,16.04,0.66,4809,7272
d4de7d7990114c51056afeedb827d880549d5761aac6bdef0f14cb17c25103b3,66.16,3.29,22649,34509
d5f9595abb54947a6b0f8a55428ca95e6402d2aeb72cbc109beca457555a99a6,58.16,8.06,67815,102844
d628914c72a4294d6b67126eb8b5a08fa4974d05469852cb7ef872721b207498,47.88,2.05,13864,21676
d67a475f72ca65fd1ac5fd3be2f1cce2db78ba074f54dc4c4738d374d0eb19c7,68.76,3,22130,33713
d6af700fb86d3a3a832ba49273453b9c35c89978e4855ce9033b9770d938881c,30.47,1.68,7664,11571
d6d55a8fbd1c603719fe611e572e2431512e7063c44896f705524dab66234d45,79.58,6.14,47099,71233
d7959a93b70f0a1bb25c08da1f2ff2298e3e6934e7829e5ed148ab8565f59572,136.97,5.98,42695,63902
d7da599c59de7fa5a42044665f8e6eeef7b313a2733886a24a8732e8689f4df4,236.1,25.87,189459,295282
da07675216728cb7d30452040da92a37bc235b01433afef3c58471d5d73295fa,19.01,1.14,6337,9274
dae299469d2d2f836d56b8f8f0a13bd03ba9e6e52e3c9bcddf2c7e1db62e49cf,5.24,0.05,1,0
daf55a9d48dd736fa870acd24cf4ced89b079544051d3bd782195ea9b96d6397,18.36,1.21,6337,9274
dc007e71085297883ca68a919e37687427b7e6db0c24ca014c148f226d8dd98f,21.97,1.43,5328,7904
dcd7995038ad4839e88e5bb3bf654b4f7c2ad09780a39c9d47596ce717fd4ac2,1380.8,23.27,150591,243435
dcf536edd67a98868759f4e72bcbd1f4404c70048a2a3257e77d8af06cb036ac,306.6,30.67,167892,247992
dd15ce869aa79884753e3baad19b0437075202be86268b84f3ec2303e1ecd966,279.96,28.26,168632,249042
dd6846820cc36b396809f63b3dc9ffb90be3b9e270f77c2fbeda0b04870a1a1d,134.79,4.99,42458,63521
ddc3e57e4a913dd5bc8070e7a7760b804aa15f0387bafa7de7d4ac6a4f797300,50.47,2.06,14314,22901
de96af271bf52bdcecaaf555a711f8a1397ed4b8be0d9c16f483253d29deaf62,19.58,0.99,6371,9315
df0f05469702bd70c49045dcbbefc65e735f4116bdb12526cd16110472a51dc8,60,5.79,43222,66521
e10cae894e8873c72ae9e5f3590e2f78f6cc2dcfe01e1a5039c8b6532bfab5f8,136.13,6.48,42359,63379
e17bfe60dea579699f67bd70e7e49aba582f5ff2337ca38d78dba650edd5ba3d,13.01,0.18,3,2
e186ed772e0eca305d34a95fe641acee9a0d06918d80a030b4e2c1e3bf962091,87.46,9.04,71817,105893
e275b8a02bf23b565bdaabadb220b39409eddc6b8253eb04e0f092d697e3b53d,64.49,6.63,54618,84167
e3f059eff2a2fd62f9161663ff2d39580d56aba17d85e8f16908381bb84d0842,137.68,6.58,42458,63521
e46cd48eecbb40507489635dd6323a2d2e1da717985f8894919860353f45f02b,29.9,2.04,13398,20349
e525bc376016b4bd2d6dd2e05aac14765bbd2e384bbdee9b9d67e4990e05c196,14.71,0.66,3136,4514
e622f3b743c7fc0a011b07a2e656aa2b5e50a4876721bcf1f405d582ca4cda22,271.07,29.97,168672,249081
e6a498b89aa04d7c25cbfa96599a4cd9bdcc79e73bf7b09906e5ca85bda2bff6,79.45,6.6,38599,56449
e6f6684ad6397cc9205d180f3d50e1bf98dc259f6cab93ede07014b6cfa67f88,18.62,0.66,4809,7272
e7a44ea5adc366e7600623e7ff433d57cf3ba0bfac8171899497fec6c8a28acc,135.93,6.17,42458,63521
e8f164916c026d7892113a2b479d3b494f7bfc29285cf1f04c9ff670d30f7abb,15.8,0.18,3,2
e90249a27ea1181ac71f789c0c563d008cf920c5847b41c7a790952139b84808,46.5,3.95,20545,31373
e94064401b54c399d3f844fdf08f880cb8c5d74c34de9dc28733dd22dabba678,21.97,0.74,5328,7904
e98190ba094115d858baee7553511d149d11ab9234d6a1ce64abed27a4fb958e,17.36,1.34,4809,7272
ea32d0b279d1f93cef18512a54cbf0a2d4a87368ad516682bea55356701a23ad,6.87,0.05,15,18
ebbb8769086dcf3f7bdaf9366cf6a5ac4c5ac981e4be3c69d08ce06fc80c2f28,18.38,0.2,3,2
ed1ed10a2798ff272fa00ceb54c6d33be83a1d1d3f3db930fb828466824544d9,32.53,2.26,11523,17241
efb40400f8e52cc29b9c6758e6d66406d9a8aabc199d5a403ed74b9a71ebca60,25.57,1.27,6517,9748
f0ec54b9dc2e64c214e92b521933cee172283ff5c942cf84fae4ec5b03abab55,14.68,0.81,1748,2654
f11b60b273e2606e91832edbb014ad229563f5c537ddab11dba80018c11364dd,136.46,6.4,42359,63379
f30fb748ce4aaf203383bcfee0ff56b7de189f12b2f7c215304870acd6448115,28.67,1.66,9507,14636
f3a6d4ccdd0f663269c3909e74d6847608b8632fb2814b0436a4532b8281e617,93.28,8.74,67032,102787
f43815dc58586fdf0bbe3cb3e2c06e48285507524cdcabdd857f0a6ff49fec4b,13.8,0.71,3136,4514
f4ca0aaa779663297a6fb634fb3c9f775230e52a9fa733073fe8057b0e70a0f5,6.95,0.09,161,241
f4fb0f2ae098850f2a8ffb771ae4c6c8aaa81144fe53228a2c01df2d34307053,18.78,0.94,6347,9281
f53f84ac24e0ae43cd5b59a0e031d6423f8dce2400d21e0d59ea5511b57f256f,6.28,0.27,63,89
f5df98b344242c5eaad1fce421c640fadd71f7f21379d2bf7309001dfeb25972,71.54,2.9,22130,33713
f5f28704183a9b1a6d1bd9d68122c0f59b9e42db20e764dcf43f3f4d75982ad7,113.67,7,68008,104515
f71fc818362b1465fc1deb361de36badc73ac4dd9e815153c9022f82c4062787,29.39,1.95,9689,14834
f8bdd832ce22b529f0eae14e642bb95e990e317707b094a225670a15d5c8ca1f,764.32,1.8,11818,17776
f910b2a6d84d0677cda9aefabfa4a45863ba51a8831588e3b527e8e1d3a9927c,211.39,4.99,39301,60842
f967f80dbd53c7d1c5c79cb84fb5213c396d609022cfe99c04d6b90bf1215e53,128.92,17.08,138968,214329
faf379bd44211154301a1a370970a74978e718b80cc117ea5c9d79610b29ba0d,23.28,0.88,6093,9133
fd84c9c09358e721173725d0a1eeae08cd0c6d74b2f44646552adc4b19883e90,136.59,7.25,42458,63521
fea2b34d7cfd396c4ac408c6f8bb3d97147f71cdc32c6a6010b1d459834abaf6,28.67,1.64,12374,18882
